SSN,PID,CC,Site,ICRAFPID,Lon,Lat,Depth,pH,Hp,EC,C,N,P,K,S,Ca,Mg,Al,B,Cu,Fe,Mn,Zn,Na
icr005928,TZ-QIGHG7,TZ,Chinyanghuku,Chinyanghuku-1-1,36.091824,-6.930703,10,7.563,0.09,0.218,4259,347,6.2,209.6,11.1,946.8,224.7,747.2,0.414,1.244,80.02,107.2,2.034,35.86
icr005929,TZ-QIGHG7,TZ,Chinyanghuku,Chinyanghuku-1-1,36.091824,-6.930703,35,6.907,0.13,0.115,2632,225,1.3,146.9,8.3,629.8,307.6,852.3,0.2954,1.317,92.18,114.5,2.058,40.62
icr005946,TZ-3pOozk,TZ,Chinyanghuku,Chinyanghuku-2-1,36.086655,-6.908367,10,6.905,0.18,0.111,3930,314,4.1,83.9,8.9,729.5,365,594.7,0.1794,1.031,85.29,63,1.275,40.73
icr005947,TZ-3pOozk,TZ,Chinyanghuku,Chinyanghuku-2-1,36.086655,-6.908367,35,6.873,0.14,0.116,2335,174,2.7,58.6,10.1,661.7,315.6,517,0.1328,0.7326,72.55,35.34,1.795,55.37
icr005965,TZ-eAIVWr,TZ,Chinyanghuku,Chinyanghuku-3-1,36.09074,-6.88353,10,7.879,0.27,0.238,8608,861,13.1,247.3,13.4,7212,380.6,601.6,0.6949,1.635,60.15,129.4,1.281,33.95
icr005966,TZ-eAIVWr,TZ,Chinyanghuku,Chinyanghuku-3-1,36.09074,-6.88353,35,7.401,0.18,0.205,7319,533,9,167.7,9.9,1985,375.8,961.4,0.5955,1.866,123.4,166.1,1.484,36.51
icr005985,TZ-KGUcKx,TZ,Chinyanghuku,Chinyanghuku-4-2,36.099449,-6.866802,10,7.78,0.09,0.321,13994,1569,27.1,297.5,23.4,4551,333.3,765.6,1.625,3.257,98.46,124.7,2.25,31.6
icr005986,TZ-KGUcKx,TZ,Chinyanghuku,Chinyanghuku-4-2,36.099449,-6.866802,35,7.896,0.18,0.643,7923,762,17.5,166.4,35.9,11368,396.8,195.2,1.165,3.834,39.04,130,2.081,53
icr005998,TZ-JaXtMf,TZ,Chinyanghuku,Chinyanghuku-5-1,36.1244,-6.93858,10,7.549,0.18,0.205,6622,695,17.3,240.7,11,1344,366.1,730.7,0.5476,1.515,174.5,124.2,1.667,35.05
icr005999,TZ-JaXtMf,TZ,Chinyanghuku,Chinyanghuku-5-1,36.1244,-6.93858,35,6.959,0.09,0.136,4084,544,13.9,159.4,10.1,1014,431.1,787.3,0.2145,1.369,148.2,85.84,2.303,45.35
icr006015,TZ-uak6WC,TZ,Chinyanghuku,Chinyanghuku-6-1,36.116508,-6.910832,10,7.13,0.18,0.165,3662,395,4.6,177.7,11.3,985.8,323.3,740.6,0.427,2.022,98.25,193,2.326,50.92
icr006016,TZ-uak6WC,TZ,Chinyanghuku,Chinyanghuku-6-1,36.116508,-6.910832,35,6.929,0.18,0.154,3248,406,3.6,141.6,10.8,935,356.7,836,0.5616,2.003,125.4,210.9,2.028,51.28
