SSN,ssid
iit003819,NG-OCP-KT-gjjpq4Vm
iit003820,NG-OCP-KT-ea8y7cNW
iit003821,NG-OCP-KT-6bw8jFqi
iit003822,NG-OCP-KT-dQWvLmKZ
iit003823,NG-OCP-KT-JqRhogXU
iit003824,NG-OCP-KT-VKAMGXxn
iit003825,NG-OCP-KT-GDzi4TiF
iit003826,NG-OCP-KT-HCWG4K9k
iit003827,NG-OCP-KT-Uis5i7XA
iit003828,NG-OCP-KT-4mOVcqq3
iit003829,NG-OCP-KT-hTeqckfO
iit003830,NG-OCP-KT-GK8e5YGB
iit003831,NG-OCP-KT-zFVH9E6Y
iit003832,NG-OCP-KT-0WChZbXH
iit003833,NG-OCP-KT-Q7xv2wZz
iit003834,NG-OCP-KT-NSj9ICGF
iit003835,NG-OCP-KT-kuSnx5aT
iit003836,NG-OCP-KT-GguEEfi1
iit003837,NG-OCP-KT-lvHUN2Jn
iit003838,NG-OCP-KT-YE8ivfw7
iit003839,NG-OCP-KT-jsMFtcet
iit003840,NG-OCP-KT-aqpz3DwB
iit003841,NG-OCP-KT-XQgOtVFz
iit003842,NG-OCP-KT-ogMF2Tl7
iit003843,NG-OCP-KT-cYZTc6xv
iit003844,NG-OCP-KT-A2kVLXUj
iit003845,NG-OCP-KT-cXHmcx95
iit003846,NG-OCP-KT-rjcsOJwc
iit003847,NG-OCP-KT-scKmxvQw
iit003848,NG-OCP-KT-4XCdtarK
iit003849,NG-OCP-KT-wlqr5sAJ
iit003850,NG-OCP-KT-E6Pb2lpj
iit003851,NG-OCP-KT-1jW1pNi2
iit003852,NG-OCP-KT-6XpkwgnN
iit003853,NG-OCP-KT-HfiEPLT8
iit003854,NG-OCP-KT-8tS6JTNM
iit003855,NG-OCP-KT-WflR0dfX
iit003856,NG-OCP-KT-M4vcjEtJ
iit003857,NG-OCP-KT-03k3WZVD
iit003858,NG-OCP-KT-cvgb5abK
iit003859,NG-OCP-KT-plEnAo1L
iit003860,NG-OCP-KT-LG4RZ439
iit003861,NG-OCP-KT-qfsRfrhR
iit003862,NG-OCP-KT-iycjZ362
iit003863,NG-OCP-KT-f8d4pGOn
iit003864,NG-OCP-KT-KJkzkdNl
iit003865,NG-OCP-KT-IuujnpKV
iit003866,NG-OCP-KT-DlTI46qM
iit003867,NG-OCP-KT-tzVNttf2
iit003868,NG-OCP-KT-8fcn1X0E
iit003869,NG-OCP-KT-cjdMcBpb
iit003870,NG-OCP-KT-tLecO2QK
iit003871,NG-OCP-KT-glvHt9c7
iit003872,NG-OCP-KT-y7Lgcz6I
iit003873,NG-OCP-KT-t2jXq0Sv
iit003874,NG-OCP-KT-WYgBfrML
iit003875,NG-OCP-KT-68cCC1OF
iit003876,NG-OCP-KT-5VlGUzOj
iit003877,NG-OCP-KT-AVKpb2Iy
iit003878,NG-OCP-KT-tbwhLi2g
iit003879,NG-OCP-KT-B7Mucw8T
iit003880,NG-OCP-KT-Jv2Lo0mj
iit3881,NG-OCP-BA-EBBgrz6d
iit3882,NG-OCP-BA-BchkyKl3
iit3883,NG-OCP-BA-rbHLaah8
iit3884,NG-OCP-BA-v5lm8nRc
iit3885,NG-OCP-BA-4HMjOVJ4
iit3886,NG-OCP-BA-jY1xgiaa
iit3887,NG-OCP-BA-sIdRhOdF
