date,lat,lon,depth,restrict,ssid
3/16/16,8.168615869,8.837749785,sub,no,NG-OCP-NS-0ajHMd2A
3/16/16,8.166969646,8.833081603,sub,no,NG-OCP-NS-2rXYCkUE
3/16/16,8.166981148,8.83305925,top,no,NG-OCP-NS-3iXRukRf
3/16/16,8.167019582,8.833042601,top,no,NG-OCP-NS-3SkTb4BJ
3/16/16,8.166795117,8.833133847,sub,no,NG-OCP-NS-7l7vLSEy
3/16/16,8.16687616,8.833041722,sub,no,NG-OCP-NS-BRv8XLmW
3/16/16,8.16862577,8.83767783,top,no,NG-OCP-NS-GuHQ4nVz
3/16/16,8.166821561,8.833145861,top,no,NG-OCP-NS-JiZsN6DV
3/16/16,10.18898721,8.583763036,top,no,NG-OCP-PL-08xIPlXp
3/16/16,10.1862068,8.585532624,sub,no,NG-OCP-PL-1XQzdtVj
3/16/16,10.1873161,8.589855638,sub,no,NG-OCP-PL-3u9bndRv
3/16/16,8.951872841,9.406892212,sub,no,NG-OCP-PL-4YoC3fhF
3/16/16,8.950870289,9.409777488,sub,no,NG-OCP-PL-8qgewOym
3/16/16,10.18794154,8.588061295,top,no,NG-OCP-PL-aVaR5wuL
3/16/16,10.18576241,8.590237773,sub,no,NG-OCP-PL-CyTxi6hF
3/16/16,10.18737936,8.589954021,top,no,NG-OCP-PL-erHC1KeD
3/16/16,8.948571942,9.410193958,n/a,yes,NG-OCP-PL-FMKSb8lH
3/16/16,8.954033505,9.409129906,sub,no,NG-OCP-PL-gGb05BEI
3/16/16,10.18723769,8.592836817,top,no,NG-OCP-PL-IQPg6Sxn
3/16/16,10.18910828,8.583737409,sub,no,NG-OCP-PL-jEHemSa0
3/16/16,8.948512354,9.41020227,top,no,NG-OCP-PL-K9SWbjj6
3/16/16,10.1871999,8.592856851,sub,no,NG-OCP-PL-Lnlbs6By
3/16/16,8.951876647,9.406858895,top,no,NG-OCP-PL-nOTd3btt
3/16/16,8.950899828,9.409794851,top,no,NG-OCP-PL-uTZ6H8FI
3/16/16,10.1833238,8.587305928,top,yes,NG-OCP-PL-y5QAOAWX
3/16/16,10.18793988,8.588010887,sub,no,NG-OCP-PL-YXMX2RkU
3/16/16,10.18573083,8.590161893,top,no,NG-OCP-PL-ZIH9vccB
3/16/16,10.18821634,8.59436364,sub,no,NG-OCP-PL-ZIX7JSwl
3/16/16,10.18817142,8.594454494,top,no,NG-OCP-PL-znh1Vpf7
3/16/16,8.976372916,11.01661956,top,no,NG-OCP-TR-eMvC5SPd
3/16/16,8.977962105,11.01234678,top,no,NG-OCP-TR-GYQpaXbe
3/16/16,8.977983722,11.0125578,sub,no,NG-OCP-TR-GYQpaXbe
3/16/16,8.976336357,11.016654,sub,no,NG-OCP-TR-It9scUcj
3/16/16,8.975509327,11.01171903,sub,no,NG-OCP-TR-KkJSH4Jk
3/16/16,8.980953934,11.01376943,top,no,NG-OCP-TR-nOYseBJ7
3/16/16,8.981396186,11.00876627,top,no,NG-OCP-TR-qHJe49lm
3/16/16,8.980974488,11.01379094,sub,no,NG-OCP-TR-rnA6R4eA
3/16/16,8.97551946,11.0117409,top,no,NG-OCP-TR-zmv34NZP
3/17/16,8.182151451,8.841565293,sub,no,NG-OCP-NS-6IJcGvH7
3/17/16,8.168572252,8.837597767,top,no,NG-OCP-NS-6TPSCPCQ
3/17/16,8.177859958,8.865641583,sub,yes,NG-OCP-NS-6zddnF9B
3/17/16,8.174980023,8.864280866,sub,yes,NG-OCP-NS-9p5sOUxW
3/17/16,8.170568838,8.863766721,top,no,NG-OCP-NS-djJEmcv7
3/17/16,8.185441931,8.832527288,top,no,NG-OCP-NS-E98yG3AZ
3/17/16,8.182831056,8.833530128,top,no,NG-OCP-NS-GirVBA8A
3/17/16,8.18213301,8.841586294,top,no,NG-OCP-NS-HDIupPr7
3/17/16,8.173173526,8.862575762,sub,yes,NG-OCP-NS-iKuYItLl
3/17/16,8.177826513,8.865677996,top,yes,NG-OCP-NS-iszqwkn7
3/17/16,8.16857358,8.837826964,sub,no,NG-OCP-NS-Lx4wfuxG
3/17/16,8.170577496,8.863742322,sub,no,NG-OCP-NS-M1PwQH1W
3/17/16,8.174991871,8.86436597,top,no,NG-OCP-NS-qO3aiLl3
3/17/16,8.185442086,8.832518711,sub,no,NG-OCP-NS-S3CDQcSg
3/17/16,8.17317884,8.862647088,top,yes,NG-OCP-NS-SF6MEZp4
3/17/16,8.18281179,8.833581553,sub,no,NG-OCP-NS-sQCCUsJg
3/17/16,8.182277592,8.838474096,sub,no,NG-OCP-NS-Swv8nLIg
3/17/16,8.178915777,8.835012686,sub,no,NG-OCP-NS-uEyMbDWI
3/17/16,8.172662864,8.865909048,sub,yes,NG-OCP-NS-W1TCwyjV
3/17/16,8.172622849,8.86594264,sub,yes,NG-OCP-NS-wkc2ljgu
3/17/16,8.172625012,8.865921691,sub,yes,NG-OCP-NS-wkc2ljgu
3/17/16,8.182285065,8.838486047,top,no,NG-OCP-NS-XoaMGPJO
3/17/16,8.178878251,8.835049233,top,no,NG-OCP-NS-XU6qPjpo
3/17/16,8.945175319,9.41609278,top,no,NG-OCP-PL-0zyux6rL
3/17/16,10.17847369,8.604242977,top,no,NG-OCP-PL-1al5Xiee
